Variable,Method,Horizon,Period,NFixed,NRecursive
UNEMP,previous_error,1,1969Q1--2025Q2,225,225
UNEMP,previous_error,1,1969Q1--2025Q2*,217,217
UNEMP,previous_error,1,1969Q1--1999Q4,123,123
UNEMP,previous_error,1,2000Q1--2025Q2,102,102
UNEMP,previous_error,1,2000Q1--2025Q2*,94,94
UNEMP,previous_error,1,2000Q1--2008Q4,36,36
UNEMP,previous_error,1,2000Q1--2019Q4,80,80
UNEMP,previous_error,1,2010Q1--2019Q4,40,40
UNEMP,previous_error,1,2022Q1--2025Q2,14,14
RGDP,previous_error,1,1969Q1--2025Q2,226,226
RGDP,previous_error,1,1969Q1--2025Q2*,218,218
RGDP,previous_error,1,1969Q1--1999Q4,123,123
RGDP,previous_error,1,2000Q1--2025Q2,103,103
RGDP,previous_error,1,2000Q1--2025Q2*,95,95
RGDP,previous_error,1,2000Q1--2008Q4,36,36
RGDP,previous_error,1,2000Q1--2019Q4,80,80
RGDP,previous_error,1,2010Q1--2019Q4,40,40
RGDP,previous_error,1,2022Q1--2025Q2,15,15
INDPROD,previous_error,1,1969Q1--2025Q2,225,225
INDPROD,previous_error,1,1969Q1--2025Q2*,217,217
INDPROD,previous_error,1,1969Q1--1999Q4,123,123
INDPROD,previous_error,1,2000Q1--2025Q2,102,102
INDPROD,previous_error,1,2000Q1--2025Q2*,94,94
INDPROD,previous_error,1,2000Q1--2008Q4,36,36
INDPROD,previous_error,1,2000Q1--2019Q4,80,80
INDPROD,previous_error,1,2010Q1--2019Q4,40,40
INDPROD,previous_error,1,2022Q1--2025Q2,14,14
CPI,previous_error,1,1981Q3--2025Q2,174,174
CPI,previous_error,1,1981Q3--2025Q2*,166,166
CPI,previous_error,1,1981Q3--1999Q4,72,72
CPI,previous_error,1,2000Q1--2025Q2,102,102
CPI,previous_error,1,2000Q1--2025Q2*,94,94
CPI,previous_error,1,2000Q1--2008Q4,36,36
CPI,previous_error,1,2000Q1--2019Q4,80,80
CPI,previous_error,1,2010Q1--2019Q4,40,40
CPI,previous_error,1,2022Q1--2025Q2,14,14
UNEMP,previous_error,2,1969Q1--2025Q2,223,223
UNEMP,previous_error,2,1969Q1--2025Q2*,215,215
UNEMP,previous_error,2,1969Q1--1999Q4,121,121
UNEMP,previous_error,2,2000Q1--2025Q2,102,102
UNEMP,previous_error,2,2000Q1--2025Q2*,94,94
UNEMP,previous_error,2,2000Q1--2008Q4,36,36
UNEMP,previous_error,2,2000Q1--2019Q4,80,80
UNEMP,previous_error,2,2010Q1--2019Q4,40,40
UNEMP,previous_error,2,2022Q1--2025Q2,14,14
RGDP,previous_error,2,1969Q1--2025Q2,224,224
RGDP,previous_error,2,1969Q1--2025Q2*,216,216
RGDP,previous_error,2,1969Q1--1999Q4,121,121
RGDP,previous_error,2,2000Q1--2025Q2,103,103
RGDP,previous_error,2,2000Q1--2025Q2*,95,95
RGDP,previous_error,2,2000Q1--2008Q4,36,36
RGDP,previous_error,2,2000Q1--2019Q4,80,80
RGDP,previous_error,2,2010Q1--2019Q4,40,40
RGDP,previous_error,2,2022Q1--2025Q2,15,15
INDPROD,previous_error,2,1969Q1--2025Q2,223,223
INDPROD,previous_error,2,1969Q1--2025Q2*,215,215
INDPROD,previous_error,2,1969Q1--1999Q4,121,121
INDPROD,previous_error,2,2000Q1--2025Q2,102,102
INDPROD,previous_error,2,2000Q1--2025Q2*,94,94
INDPROD,previous_error,2,2000Q1--2008Q4,36,36
INDPROD,previous_error,2,2000Q1--2019Q4,80,80
INDPROD,previous_error,2,2010Q1--2019Q4,40,40
INDPROD,previous_error,2,2022Q1--2025Q2,14,14
CPI,previous_error,2,1981Q3--2025Q2,172,172
CPI,previous_error,2,1981Q3--2025Q2*,164,164
CPI,previous_error,2,1981Q3--1999Q4,70,70
CPI,previous_error,2,2000Q1--2025Q2,102,102
CPI,previous_error,2,2000Q1--2025Q2*,94,94
CPI,previous_error,2,2000Q1--2008Q4,36,36
CPI,previous_error,2,2000Q1--2019Q4,80,80
CPI,previous_error,2,2010Q1--2019Q4,40,40
CPI,previous_error,2,2022Q1--2025Q2,14,14
UNEMP,previous_error,3,1969Q1--2025Q2,221,221
UNEMP,previous_error,3,1969Q1--2025Q2*,213,213
UNEMP,previous_error,3,1969Q1--1999Q4,119,119
UNEMP,previous_error,3,2000Q1--2025Q2,102,102
UNEMP,previous_error,3,2000Q1--2025Q2*,94,94
UNEMP,previous_error,3,2000Q1--2008Q4,36,36
UNEMP,previous_error,3,2000Q1--2019Q4,80,80
UNEMP,previous_error,3,2010Q1--2019Q4,40,40
UNEMP,previous_error,3,2022Q1--2025Q2,14,14
RGDP,previous_error,3,1969Q1--2025Q2,222,222
RGDP,previous_error,3,1969Q1--2025Q2*,214,214
RGDP,previous_error,3,1969Q1--1999Q4,119,119
