Variable,Period,gamma_01,gamma_02,gamma_03,gamma_04,gamma_05,gamma_06,gamma_07,gamma_08,gamma_09,gamma_10,recursive_hist
UNEMP,1969Q1--2025Q2,1.01,1.04,1.07,1.11,1.16,1.21,1.27,1.33,1.4,1.47,1.04
UNEMP,1969Q1--2025Q2*,0.99,1,1.01,1.03,1.06,1.1,1.15,1.21,1.27,1.33,1.07
UNEMP,1969Q1--1999Q4,1,1.02,1.04,1.07,1.11,1.16,1.21,1.27,1.34,1.4,1.1
UNEMP,2000Q1--2025Q2,1.02,1.04,1.08,1.12,1.17,1.22,1.28,1.35,1.42,1.49,1.02
UNEMP,2000Q1--2025Q2*,0.97,0.95,0.94,0.94,0.96,0.98,1.01,1.06,1.11,1.17,0.99
UNEMP,2000Q1--2008Q4,0.99,0.98,0.98,0.99,1,1.02,1.04,1.06,1.1,1.13,1
UNEMP,2000Q1--2019Q4,0.97,0.95,0.94,0.95,0.96,0.98,1.02,1.06,1.11,1.16,0.99
UNEMP,2010Q1--2019Q4,0.98,0.98,1,1.04,1.1,1.17,1.26,1.35,1.45,1.56,0.98
UNEMP,2022Q1--2025Q2,0.95,0.91,0.9,0.89,0.91,0.95,1,1.06,1.14,1.22,0.95
RGDP,1969Q1--2025Q2,1,1.02,1.04,1.07,1.11,1.16,1.21,1.27,1.33,1.4,1
RGDP,1969Q1--2025Q2*,1,1.01,1.03,1.06,1.09,1.14,1.19,1.25,1.31,1.38,1.01
RGDP,1969Q1--1999Q4,1,1.01,1.03,1.06,1.09,1.13,1.18,1.23,1.29,1.35,1.01
RGDP,2000Q1--2025Q2,1,1.02,1.04,1.08,1.12,1.17,1.22,1.28,1.35,1.42,1
RGDP,2000Q1--2025Q2*,1,1.01,1.03,1.06,1.09,1.14,1.19,1.25,1.32,1.39,1
RGDP,2000Q1--2008Q4,0.99,1,1.03,1.07,1.12,1.19,1.26,1.34,1.43,1.52,1
RGDP,2000Q1--2019Q4,1.01,1.03,1.06,1.1,1.15,1.2,1.26,1.33,1.4,1.47,1
RGDP,2010Q1--2019Q4,1.01,1.04,1.07,1.12,1.18,1.25,1.33,1.42,1.5,1.6,1
RGDP,2022Q1--2025Q2,0.98,0.97,0.97,0.99,1.01,1.04,1.08,1.12,1.18,1.24,1
INDPROD,1969Q1--2025Q2,1,1.01,1.02,1.05,1.09,1.13,1.18,1.23,1.3,1.36,1.04
INDPROD,1969Q1--2025Q2*,1,1,1.02,1.05,1.08,1.13,1.18,1.23,1.3,1.36,1.04
INDPROD,1969Q1--1999Q4,1,1.01,1.02,1.05,1.08,1.13,1.18,1.23,1.3,1.36,1.05
INDPROD,2000Q1--2025Q2,1,1.01,1.02,1.05,1.09,1.13,1.18,1.24,1.3,1.37,1
INDPROD,2000Q1--2025Q2*,1,1,1.02,1.05,1.08,1.13,1.18,1.23,1.3,1.36,1
INDPROD,2000Q1--2008Q4,1,1,1.02,1.05,1.08,1.12,1.17,1.23,1.29,1.35,1
INDPROD,2000Q1--2019Q4,1,1,1.02,1.04,1.08,1.12,1.17,1.22,1.28,1.35,1
INDPROD,2010Q1--2019Q4,1,1.01,1.04,1.08,1.13,1.19,1.25,1.32,1.4,1.49,1
INDPROD,2022Q1--2025Q2,1.12,1.3,1.52,1.76,2.02,2.3,2.58,2.86,3.15,3.44,1.08
CPI,1981Q3--2025Q2,0.99,0.99,1,1.02,1.06,1.09,1.14,1.19,1.25,1.32,1.01
CPI,1981Q3--2025Q2*,0.99,1,1.01,1.04,1.08,1.12,1.18,1.24,1.31,1.38,1.01
CPI,1981Q3--1999Q4,0.97,0.96,0.95,0.96,0.98,1.01,1.05,1.09,1.15,1.21,0.95
CPI,2000Q1--2025Q2,1,1,1.02,1.04,1.07,1.12,1.16,1.22,1.28,1.34,1.03
CPI,2000Q1--2025Q2*,1,1.01,1.03,1.06,1.11,1.16,1.22,1.28,1.35,1.43,1.03
CPI,2000Q1--2008Q4,1,1,1,1.01,1.03,1.04,1.06,1.09,1.11,1.14,1
CPI,2000Q1--2019Q4,1.02,1.04,1.08,1.12,1.17,1.23,1.29,1.36,1.43,1.5,1.04
CPI,2010Q1--2019Q4,1.02,1.05,1.09,1.14,1.2,1.26,1.32,1.4,1.47,1.55,1.01
CPI,2022Q1--2025Q2,0.93,0.88,0.85,0.84,0.85,0.88,0.93,0.99,1.07,1.16,0.99
