Variable,Period,gamma_01,gamma_02,gamma_03,gamma_04,gamma_05,gamma_06,gamma_07,gamma_08,gamma_09,gamma_10,recursive_hist
UNEMP,1969Q1--2025Q2,1.02,1.05,1.09,1.14,1.2,1.26,1.33,1.41,1.49,1.57,1.05
UNEMP,1969Q1--2025Q2*,0.99,0.99,1,1.02,1.06,1.1,1.15,1.2,1.27,1.33,1.01
UNEMP,1969Q1--1999Q4,1,1.01,1.02,1.05,1.08,1.12,1.17,1.22,1.28,1.34,1.03
UNEMP,2000Q1--2025Q2,1.03,1.07,1.12,1.17,1.24,1.31,1.39,1.48,1.57,1.66,1.05
UNEMP,2000Q1--2025Q2*,0.98,0.97,0.97,0.99,1.02,1.07,1.12,1.18,1.25,1.33,0.98
UNEMP,2000Q1--2008Q4,0.99,0.99,1,1.01,1.03,1.05,1.08,1.12,1.16,1.21,1
UNEMP,2000Q1--2019Q4,0.98,0.96,0.96,0.97,0.98,1.01,1.04,1.08,1.13,1.18,0.98
UNEMP,2010Q1--2019Q4,0.96,0.97,1.03,1.14,1.27,1.44,1.61,1.8,2,2.2,0.95
UNEMP,2022Q1--2025Q2,0.99,1.05,1.17,1.33,1.52,1.73,1.96,2.19,2.43,2.68,1.02
RGDP,1969Q1--2025Q2,1.01,1.03,1.06,1.09,1.13,1.18,1.23,1.29,1.35,1.41,1
RGDP,1969Q1--2025Q2*,1.01,1.02,1.04,1.07,1.11,1.15,1.2,1.25,1.31,1.37,1.01
RGDP,1969Q1--1999Q4,1,1.01,1.02,1.04,1.07,1.1,1.14,1.18,1.23,1.28,1
RGDP,2000Q1--2025Q2,1.02,1.04,1.07,1.11,1.16,1.21,1.27,1.33,1.39,1.46,1
RGDP,2000Q1--2025Q2*,1.01,1.03,1.06,1.09,1.13,1.17,1.22,1.28,1.34,1.4,1.01
RGDP,2000Q1--2008Q4,1,1.02,1.04,1.08,1.12,1.17,1.23,1.29,1.35,1.43,1.01
RGDP,2000Q1--2019Q4,1.02,1.04,1.07,1.11,1.16,1.21,1.26,1.32,1.39,1.45,1
RGDP,2010Q1--2019Q4,1.02,1.05,1.09,1.13,1.18,1.24,1.3,1.36,1.43,1.5,1
RGDP,2022Q1--2025Q2,1,1.01,1.03,1.05,1.09,1.12,1.17,1.22,1.27,1.33,1.01
INDPROD,1969Q1--2025Q2,1,1.01,1.03,1.06,1.09,1.14,1.19,1.24,1.3,1.37,1.05
INDPROD,1969Q1--2025Q2*,1,1.01,1.03,1.06,1.09,1.14,1.19,1.25,1.31,1.37,1.05
INDPROD,1969Q1--1999Q4,1.01,1.02,1.05,1.08,1.12,1.17,1.23,1.29,1.36,1.43,1.07
INDPROD,2000Q1--2025Q2,0.98,0.97,0.96,0.97,0.98,1,1.03,1.07,1.11,1.16,1
INDPROD,2000Q1--2025Q2*,0.98,0.97,0.96,0.97,0.98,1,1.03,1.07,1.11,1.16,1
INDPROD,2000Q1--2008Q4,0.98,0.97,0.97,0.98,0.99,1.02,1.05,1.08,1.13,1.17,1
INDPROD,2000Q1--2019Q4,0.98,0.97,0.96,0.97,0.98,1,1.03,1.07,1.11,1.16,1
INDPROD,2010Q1--2019Q4,0.96,0.94,0.94,0.95,0.99,1.05,1.11,1.2,1.29,1.38,0.98
INDPROD,2022Q1--2025Q2,0.97,0.95,0.96,0.98,1.01,1.06,1.12,1.2,1.28,1.37,0.98
CPI,1981Q3--2025Q2,1,1,1.01,1.02,1.04,1.05,1.07,1.1,1.13,1.16,1
CPI,1981Q3--2025Q2*,0.99,0.99,1,1,1.02,1.03,1.05,1.08,1.1,1.13,1
CPI,1981Q3--1999Q4,0.98,0.97,0.97,0.98,0.99,1.02,1.05,1.09,1.13,1.18,0.97
CPI,2000Q1--2025Q2,1,1.01,1.02,1.03,1.04,1.06,1.08,1.1,1.13,1.15,1.01
CPI,2000Q1--2025Q2*,1,1,1,1.01,1.02,1.03,1.05,1.07,1.09,1.12,1
CPI,2000Q1--2008Q4,1,1.01,1.01,1.02,1.03,1.04,1.04,1.05,1.06,1.07,1.01
CPI,2000Q1--2019Q4,1,1.01,1.01,1.02,1.04,1.05,1.07,1.09,1.11,1.13,1.01
CPI,2010Q1--2019Q4,0.99,0.98,0.99,0.99,1,1.02,1.04,1.06,1.09,1.12,0.99
CPI,2022Q1--2025Q2,0.98,0.97,0.97,0.97,0.97,0.98,1,1.02,1.05,1.08,0.98
