Variable,Period,gamma_01,gamma_02,gamma_03,gamma_04,gamma_05,gamma_06,gamma_07,gamma_08,gamma_09,gamma_10,recursive_hist
UNEMP,1969Q1--2025Q2,1.01,1.04,1.07,1.11,1.16,1.21,1.27,1.33,1.4,1.47,1.16
UNEMP,1969Q1--2025Q2*,0.95,0.91,0.88,0.86,0.86,0.86,0.88,0.9,0.94,0.99,0.86
UNEMP,1969Q1--1999Q4,0.95,0.92,0.89,0.87,0.87,0.87,0.89,0.92,0.96,1,0.87
UNEMP,2000Q1--2025Q2,1.02,1.05,1.09,1.14,1.19,1.25,1.32,1.39,1.46,1.53,1.2
UNEMP,2000Q1--2025Q2*,0.95,0.9,0.86,0.84,0.83,0.83,0.84,0.87,0.9,0.95,0.83
UNEMP,2000Q1--2008Q4,0.97,0.94,0.92,0.9,0.89,0.89,0.89,0.91,0.92,0.95,0.9
UNEMP,2000Q1--2019Q4,0.95,0.9,0.87,0.85,0.83,0.83,0.84,0.87,0.9,0.94,0.84
UNEMP,2010Q1--2019Q4,0.97,0.95,0.94,0.93,0.94,0.96,0.99,1.03,1.08,1.13,0.95
UNEMP,2022Q1--2025Q2,0.91,0.84,0.79,0.75,0.74,0.75,0.79,0.85,0.92,1,0.74
RGDP,1969Q1--2025Q2,0.96,0.93,0.91,0.9,0.9,0.92,0.94,0.97,1.01,1.06,0.94
RGDP,1969Q1--2025Q2*,0.95,0.91,0.88,0.86,0.85,0.86,0.87,0.9,0.93,0.98,0.9
RGDP,1969Q1--1999Q4,0.95,0.91,0.88,0.86,0.85,0.85,0.86,0.88,0.91,0.95,0.95
RGDP,2000Q1--2025Q2,0.96,0.94,0.92,0.92,0.92,0.94,0.97,1.01,1.05,1.11,0.94
RGDP,2000Q1--2025Q2*,0.95,0.91,0.88,0.86,0.86,0.86,0.88,0.91,0.95,0.99,0.87
RGDP,2000Q1--2008Q4,0.95,0.91,0.89,0.89,0.91,0.95,1.01,1.08,1.16,1.25,0.94
RGDP,2000Q1--2019Q4,0.95,0.92,0.89,0.87,0.87,0.88,0.9,0.93,0.97,1.02,0.89
RGDP,2010Q1--2019Q4,0.95,0.91,0.88,0.86,0.85,0.85,0.87,0.89,0.93,0.97,0.87
RGDP,2022Q1--2025Q2,0.95,0.9,0.87,0.85,0.83,0.83,0.84,0.87,0.9,0.94,0.85
INDPROD,1969Q1--2025Q2,0.95,0.91,0.88,0.86,0.85,0.86,0.87,0.9,0.93,0.98,0.86
INDPROD,1969Q1--2025Q2*,0.95,0.91,0.88,0.86,0.85,0.85,0.86,0.89,0.92,0.97,0.85
INDPROD,1969Q1--1999Q4,0.95,0.91,0.88,0.86,0.85,0.85,0.87,0.89,0.93,0.97,0.86
INDPROD,2000Q1--2025Q2,0.95,0.92,0.89,0.88,0.87,0.88,0.9,0.92,0.96,1.01,0.88
INDPROD,2000Q1--2025Q2*,0.95,0.91,0.87,0.85,0.84,0.84,0.85,0.87,0.91,0.95,0.84
INDPROD,2000Q1--2008Q4,0.95,0.91,0.87,0.85,0.84,0.83,0.85,0.87,0.9,0.94,0.84
INDPROD,2000Q1--2019Q4,0.95,0.9,0.87,0.85,0.84,0.84,0.85,0.87,0.9,0.95,0.84
INDPROD,2010Q1--2019Q4,0.96,0.93,0.9,0.89,0.89,0.9,0.92,0.96,1,1.05,0.89
INDPROD,2022Q1--2025Q2,0.97,0.96,0.95,0.96,0.97,1,1.03,1.08,1.13,1.18,0.98
CPI,1981Q3--2025Q2,0.98,0.96,0.96,0.97,0.99,1.01,1.05,1.09,1.14,1.2,0.98
CPI,1981Q3--2025Q2*,0.98,0.97,0.97,0.98,1,1.03,1.07,1.12,1.17,1.23,0.98
CPI,1981Q3--1999Q4,0.98,0.97,0.97,0.98,1,1.03,1.07,1.11,1.17,1.23,0.97
CPI,2000Q1--2025Q2,0.98,0.96,0.96,0.97,0.98,1.01,1.04,1.09,1.14,1.2,0.98
CPI,2000Q1--2025Q2*,0.98,0.97,0.97,0.98,1,1.03,1.07,1.12,1.17,1.24,0.98
CPI,2000Q1--2008Q4,1.01,1.02,1.04,1.06,1.08,1.11,1.15,1.18,1.22,1.26,1.03
CPI,2000Q1--2019Q4,0.99,0.99,1.01,1.03,1.06,1.1,1.15,1.2,1.26,1.32,1.01
CPI,2010Q1--2019Q4,0.98,0.97,0.96,0.97,0.99,1.02,1.06,1.11,1.16,1.22,0.97
CPI,2022Q1--2025Q2,0.92,0.85,0.79,0.74,0.7,0.69,0.69,0.71,0.75,0.8,0.88
